Title,Standard Document Id,Technology Generation,Publication Date,Standard Setting Organization,Author,Standard Project,Version History,Original Document
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.2.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.2.0,"4G, 3G, 2G",2012-11-14,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-11 3GPP-SA,11.2.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.02.00_60/ts_123272v110200p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.15.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.15.0,"4G, 3G, 2G",2014-07-09,ETSI,Maurice Pope | Sabine Demel,,10.15.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.15.00_60/ts_123272v101500p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.14.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.14.0,"4G, 3G, 2G",2014-03-17,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.14.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.14.00_60/ts_123272v101400p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.13.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.13.0,"4G, 3G, 2G",2013-12-18,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.13.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.13.00_60/ts_123272v101300p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.12.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.12.0,"4G, 3G, 2G",2013-09-20,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.12.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.12.00_60/ts_123272v101200p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.11.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.11.0,"4G, 3G, 2G",2013-06-27,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.11.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.11.00_60/ts_123272v101100p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.10.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.10.0,"4G, 3G, 2G",2013-04-05,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.10.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.10.00_60/ts_123272v101000p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.9.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.9.0,"4G, 3G, 2G",2013-01-14,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.9.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.09.00_60/ts_123272v100900p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.8.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.8.0,"4G, 3G, 2G",2012-07-03,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.8.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.08.00_60/ts_123272v100800p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.7.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.7.0,"4G, 3G, 2G",2012-03-20,ETSI,Maurice Pope | Sabine Demel,,10.7.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.07.00_60/ts_123272v100700p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.6.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.6.0,"4G, 3G, 2G",2012-01-09,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.6.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.06.00_60/ts_123272v100600p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.5.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.5.0,"4G, 3G, 2G",2011-10-12,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.5.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.05.00_60/ts_123272v100500p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.4.0 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.4.0,"4G, 3G, 2G",2011-06-22,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-10 3GPP-SA,10.4.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.04.00_60/ts_123272v100400p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 10.3.1 Release 10) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v10.3.1,"4G, 3G, 2G",2011-04-19,ETSI,Maurice Pope | Sabine Demel,,10.3.1,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/10.03.01_60/ts_123272v100301p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.15.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.15.0,"4G, 3G, 2G",2013-09-20,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.15.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.15.00_60/ts_123272v091500p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.14.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.14.0,"4G, 3G, 2G",2013-06-27,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.14.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.14.00_60/ts_123272v091400p.pdf
